     Value-Weight Local  Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
Date      Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198702   8.65   0.97  15.55   2.68  12.03   9.76  15.56   5.59  12.72   5.81
198703   7.05   5.31   2.95   3.01   5.32  11.97   6.43  11.11   4.29  27.39
198704   4.19   9.94  -0.47   3.13  11.57   0.58   3.76   0.91   9.77  11.99
198705   2.30   0.89  -0.28   4.60  -2.55   6.13  -1.49   6.64  -2.33   0.94
198706   0.26   0.18  -0.92   1.14  -3.77   2.72  -1.91   2.54  -3.09 -10.22
198707  15.10  13.49  17.31  10.62  23.23  13.04  23.04   7.17  25.94  22.21
198708   6.50   9.06   9.01  10.65   5.69   3.70   8.04   5.66   9.08  -7.78
198709   4.58   4.58   3.94   5.19   4.60   3.95   5.06   4.79   4.71  -0.66
198710 -41.67 -40.30 -49.13 -40.38 -47.46 -37.52 -47.64 -31.96 -51.14 -47.39
198711   4.09   7.57   3.18   4.27   8.97   0.64   7.01  -0.25   8.09  11.92
198712   2.45   2.78  -0.03  -0.39   5.53   3.09   4.84   2.26   6.82  -1.81
198801  -4.60   3.58  -9.21   2.30 -14.37   1.13 -14.08   2.03 -11.82 -14.27
198802   0.37   0.43  -1.45   0.79  -2.24  -1.65  -3.83   1.06  -2.63   1.91
198803  14.17  15.97  15.60  14.57  19.64  14.05  19.44  13.00  20.17   8.96
198804   3.58   4.39   3.22   4.88   3.53   5.15   2.21   4.20   4.20   2.08
198805   9.36   8.84   9.48   6.72  12.41   1.71  11.98  11.00   7.61  -0.37
198806  -0.96  -2.23  -0.06  -3.43   4.26  -1.58   3.71  -3.79   3.40   2.89
198807   4.41   3.95   3.85   5.30   4.26   3.97   4.30   5.38   3.67  -2.27
198808  -2.09   0.16  -3.35   0.19  -5.72  -3.00  -4.49   0.94  -5.59  -8.71
198809  -0.96   2.38  -3.93   2.90  -4.82  -0.92  -5.60   2.61  -4.25  -6.55
198810   2.50   2.23   5.40   1.98   6.73   3.07   5.83   2.05   7.19   8.41
198811  -7.16  -5.47  -6.75  -6.49  -7.03  -9.33  -7.53  -4.95  -8.19  -8.12
198812   1.49   0.69   0.53   0.70   0.51   4.27   1.28   0.25  -0.75   0.24
198901   4.66   5.36   4.00   6.69   4.59   7.13   4.69   4.78   4.56   2.60
198902  -4.44  -3.53  -6.28  -3.30  -5.28  -3.68  -3.99  -4.45  -3.89   0.99
198903  -1.23   1.81  -2.22  -2.37  -1.89   0.20  -2.27  -3.48  -0.86   2.12
198904   3.79   0.31   5.48   0.69   4.59   3.29   4.79   1.39   4.50   3.40
198905   2.94   4.32   1.69   1.96   1.60   5.66   2.22   0.86   5.08   2.28
198906   0.14  -0.55   0.43  -2.72   2.58   0.92   2.59  -2.00   2.86   0.48
198907   8.64   6.65   8.24   6.85   8.93  10.36   7.67   6.21  11.12   7.90
198908   7.95   5.16   8.41   4.79   9.56   7.71   9.37   5.81   7.74   9.20
198909  -1.34  -1.73  -2.69   1.86  -1.61  -2.36  -2.38   2.59  -3.07  -0.91
198910  -4.45  -8.63  -3.34  -4.80  -4.28  -6.54  -3.70  -3.41  -6.00  -4.21
198911  -1.94   0.22  -2.38  -0.65  -1.81  -3.03   0.46  -2.86  -1.51   2.24
198912   3.93   1.40   3.64   2.39   2.31   4.29   2.86   3.11   3.93   1.86
199001   2.78   3.89   2.52   3.02   4.74  -0.68   2.99   4.71   3.88   3.17
199002  -5.58  -7.03  -5.34  -6.80  -5.11  -6.40  -7.14  -5.59  -4.86  -5.32
199003  -1.24  -1.02  -1.65  -2.44   0.42  -1.65  -0.99  -2.85   1.20  -2.08
